Standard,Non-Standard
"hayop na iyan, idol talaga","hype n yan, lodi tlga"
Baka gagawa na sila,Bka ggawa n sla
Akala ko seryoso,Kala q sryoso
"para kahit saan mapunta, mabango","pra khit san mpunta, mbango"
dami ko tawa,dmi q twa
magkano kaya binayad?,mgkano kya bnayad?
malakas na bagsakan para sayo,mlkas n bgsakan pra sau
ganoon din dito iyon,ganun dn d2 un
mag aamoy damit nila,mag2amoy dmit nla
napakasarap pa naman,npakasarap p nman
Ganoon din ako,Ganun dn aq
sinadya lang simpleng problema sa mag asawa iyan,cnadya lng simplng prblema s mag aswa yan
Magkasama pala,Mgkasama pla
abang na abang ako doon,abng n abng aq dun
diyos ko naman,jusko nman
mahalaga iyon kaysa diyan,mhalaga un kesa jan
Idol ko pa naman,lodi q p nmn
Iyon lang Pala,Un lng Pla
Natutuwa nman ako dito.,Ntutuwa nmn aq d2.
Napakalaking problema niya idol,Npakalaking prblema nya lods
gamit ko din yan pero bakit mabaho pa din,gmit q dn yan pro bat mbaho p dn
Seryoso talaga,Sryoso tlaga
nagpapatawa lang pala.,ngpptwa lng pla.
Ganito na ba ngayon,Ganto nb ngaun
para sumikat lang ulit,pra smikat lng ule
ang babaw naman,anbbaw nmn
Para namang naghanap atensyon,Pra nmang nghanap atnsyon
tapos gulat kami ka pa,tas glat kme k p
nagdrama lang kayo,ngdrama lng kau
Ayos akala ko totoo.,Aus kala q ttoo.
Palaos kana,Plaos k n
sinabi nito sa kanya,cnabi n2 s knya
tuloy kahiyahiya kayo,tloy kahiya2 kau
May natutunan na ako,My nttunan n aq
Kasi naman bakit ba,Kac nmn bkt b
sa paglalaba iyan siguro,s pgllaba yan cguro
wag agad maniwala kayo baka pinagloloko lang kayo,wg gad mniwala kau bka pnaglloko lng kau
Tiyak kikita ka na naman niyan.,Tyak kkita k n nmn nyan.
Para makilala ulit iyan lang iyon.,Pra mkilala ule yan lng un.
magkano kaya bayad,mgkano kya byad
idol pa rin kita kahit ganyan,lodi p rn kta khit gnyan
Ano naman ba pakialam natin,No nmn b pkialam ntn
mababaw na daHilan,mbbaw n dHilan
tapos maGkatabi lang pala sila,tpos mGkatabi lng pla sla
Hindi na sila nag usap na sila dalawa lang,Hnd n sla ng usap n sla dlawa lng
akala ko totoo,kla q ttoo
dami ko tawa,dmi q twa
Grabe kayong dalawa pwede naman,Grbe kaung dlawa pwd nmn
gusto niyo lang sumikat,usto nyo lng smikat
Hindi ako makapaniwala,Hnd aq mkpaniwala
akala ko naman kung naisahan ako doon,kala q nmn kng naishan aq dun
ang sarap naman panoorin,ansarap nman panu2rin
Bakit di Niyo Pag usapan,Bat d Nyo Pg usapan
"ano ba ito, pag usapan niyo iyan","no b to, pg usapan nyo yan"
sabi ko na ba,sbi k n b
bakit di nalang niyo pag usapan problema niyo mag asawa sa tagal ng pag sasama niyo pina dating niyo pa kay sir,bkit d nlng nyo pg usapan prblema nyo mg asawa s tgal ng pg ssama nyo pna dting nyo p ky sr
akala ko sobrang seryoso na problema. bigla akong nalungkot,kala q sbrang sryso n pblema. bgla aqng nlungkot
bwesit na iyan,buset n yan
akala kopa naman,kala q p nmn
may sayad kasi,my syad kc
gusto lang nila iyon,usto lng nla un
sinasama niyo kalokohan niyo,snasama nyo klokohan nyo
Kakaiba kayo,Kkaiba kau
Pagnakikita ko kaya sila,Pgnkikita q kya cla
para lang malakas,pra lng sakalam
natatawa naman ako dito,ntatawa nman aq d2
Ganyan pala iyan,Gnyan pla yan
pwede ka ba?,pwd k b?
Ganoon din naman,Gnun dn nman
palaos na kasi kaya ng papasikat ulit,plaos n kc kya ng ppasikat ule
na hindi napapansin,n hnd nppansin
nakakainis naman.,nkkainis nman.
kasi hindi naniniwala,kac hnd nani2wala
Magbati na kayo sayang lang kasi,Mgbati n kau syang lng kc
katabi niyo sila,ktabi nyo cla
wala naman tayo,wla nmn tau
akala ko kung ano na,kala q kng no n
"Nakakahiya kayo, dahil sa problemang iyan","Nkakahiya kau, dhil s prblemang yan"
Ayosin niyo na lang problema niyo,Ausin nyu n lng prblema nyu
di niyo kailangan,d nyu kelngan
kayo din naman magkakasundo,kyu dn nmn mgkkasundo
pag usapan niyo na lang,pg usapan nyu n lng
tama din lahat,tma dn lhat
lahat samasama diyan,lht sama2 jan
ayos din sila,aus dn cla
may asawa din kami,my aswa dn kmi
Baka di maayos,Bka d maaus
pagkakalaba nila,pagkkalaba nla
sino nakapansin?,cno nkapansin?
Akala ko pa naman totoo na,kala k p nman ttoo n
okay!!! naman!!!,ok!!! nmn!!!
AYUSIN MO MAGlaba,AUSIN M MGlaba
nakakahiya na nakakatawa pwede pa,nkkahiya n nkktawa pwde p
baka nakakalimutan mo,bka nkkalimutan m
kasama nila,ksama nla
ganoon din ngayon,ganun dn ngaun
kung maligo ka,kng mligo k
sayang lang iyon,syang lng un
nakakatawa Naman,nkakatawa Nman
ang dami kong tawa dito,andami qng twa dto
Laro2 lang ito,Laro2 lng to
Nakadepende iyon,Nkadepende yon
para sumikat ulit,pra smikat ule
talaga hindi ka lang marunong,tlg hnd k lng mrunong
damay pa,dmay p
ayos idol,ays lodi
akala ko ano na,kla q no na
dahil sa ecq dito tayo tatambay,dhil xa ecq d2 tau ta2mbay
walang kwentang reklamo,lang kwentng rklamo
maarte ka lang,marte k lng
dami kong tawa sa iyo,dmi qng twa sau
baka naman lilihi ka,bka nmn li2hi k
natawa ako sa sarili ko,ntwa aq s rili q
para makarami ng views tapos bayaran,pra mkrami ng views tas byaran
dahil di ako naniniwala basa muna ako,dhil d aq nani2wala bsa muna aq
hindi nilalapitan kasi,di nila2pitn kac
akala ko totoo talaga,kla q 22o tlga
nakakaloka naglabasan,nkkaloka nglabasn
nagbasa nalang ako hindi na pinanood,ngbsa nlng aq d n pnanood
sabi ko na eh,sbi q n e
nawala antok ko,nwla antok q
istorbo lang napakababaw,storbo lng npakaba2w
parang nalimutan ko iyong scandal,prang nlimutn q ung scndal
na tuloy ako,n 2loy aq
pasaway muntik ko nang nabuga yung tubig,pasway mntik q nng nbuga ung 2big
maglinis kayo ng sabay,mglinis kau ng sbay
sobrang simple lang pala niya,sbrang cmple lng pla nya
idol pala yan,lodi pla yn
sabi ko na eh,sbi q n e
yung unang tingin ko palang,ung unan tngin q plng
natawa ako sa inyo idol,ntwa aq sanyo lodi
iyong naglalaba ang may problema,ung ngla2ba an my prblema
tamang basa habang kumakain,tmng bsa hbang kumkain
nako totoo ba ito,nko 22o b i2
kapag sa bahay ikaw naman,kpg s bhay kw nmn
grabe ang tawa ko dito,grbe an twa q d2
ano ba naman iyan,nu b nmn yn
naloka ako kala ko totoo,loka aq kla q 22o
ako lang malakas,aq lng sakalam
naalala ko kasi,naala2 q ksi
doon ako dumiretyo,dun aq dumretyo
basta ako alam ko pinakasalan niya,bsta aq lam q pnakasaln nya
mabuti nalang nagbabasa ako kaagad,mbuti nlng ngba2sa aq kagad
nangigigil ako,nangi3l aq
una palang alam na eh,una plng lam na e
dahil sa labahan,dhil s labhan
nagulat ako,ngulat aq
hindi siguro nalabahan ng mabuti,ndi cguro nalabhan ng mbuti
na sayang oras ko idol,n syang ors q lodi
damit lang naman,dmit lng nmn
pag usapan na lang sa bahay iyan,pg uspan n lng s bhay iyn
akala ko totoo na,akla q 22o n
akala ko kung ano na ang problema,kala q qng no n an prblema
sabi ko na eh,sbi q n e
mag usap na lang kayong dalawa,mg usp n lng kyong dlwa
baka dala na lang nang pagbubuntis,bka dla n lng nan pgbu2ntis
kalokohan naman pala,kaloqhan nmn pla
natatawa ako dito,nta2wa aq d2
akala mo totoo,akla m 22o
sabi ko na nga ba,sbi q n nga b
tinapos ko talaga,tnapos q tlga
dami kong tawa sa iyo,dmi qng twa sayo
maasim yak,masim yk
akala ko ano na,akla q no n
baliw hindi na kayo bata,bliw ndi n kau bta
magandang gawi iyan,mgndang gwi iyn
kailangan ninyo lang ako,kailngan nyo lng aq
pati ba naman iyan,pti b nmn iyn
akala ko kung ano na eh,kla q kun no na e
nang dahil sainyo tumangkad ako,nan dhil sanyo tumngkad aq
ang kulit mo talaga,an klit m tlga
na joke joke ako,n jk jk aq
ang dami kong tawa dito,an dmi kon twa d2
idol ko rin ito,lodi q rn i2
kulang sa banlaw,kulng s bnlaw
sayang lang noon,syang lng nun
kabataan tulad namin,kbataan tlad nmin
pareho lang noon,preho lng nun
sabay naman kami maligo,sbay nmn kmi mligo
idol akala ko totoong sila,lodi kla q 22ong cla
magkatabi lang sila niyan,mgktbi lng cla nyan
hanep talaga kayo,hnep tlga kau
sana yung saakin din malabahan,sna yun skin dn malabhan
pag usapan iyan ng mabuti,pg uspan iyn ng mbuti
lakas ng trip mag asawa,lkas ng trp mg aswa
akala ko seryoso na,kla q sryoso n
magkano kaya bayad,mgkno kya byad
bwesit kala ko totoo,bwest kla q 22o
tawa ako ng tawa,twa aq ng twa
walang hiya kayo,wlng hya kau
kala ko seryoso yoon pala hindi,kla q sryoso un pla ndi
ang kulit talaga,an kult tlga
lakas maka hatak,lkas mka htak
kailangan na gamitin,kailngan n gmitin
hanggang ngayon ang ganda parin,hnggang ngaun an gnda prin
bagsakan mo kasi ng marami,bgskan m kac ng mrami
ganda mo parin sobra,gnda m prn sbra
para naman akong tanga,pra nmn aqng tnga
walang hiya kala ko seryoso,langya kla q sryoso
kala ko seryoso,kla q sryoso
huwag ganoon,hwag gnon
hindi mo kami maloloko,ndi m kmi malo2ko
lupet mo idol,petlu m lodi
ang napansin ko maganda parin,an npancn q mganda prn
lakas ninyo mag asawa,lkas nyo mg aswa
isa ka talagang alamat,sa k tlgang alamt
dami ko tawa dito,dmi q twa d2
idol kita pero ngayon ayuko na,lodi kta pro ngaun uko n
nag away dahil sa damit,ng awy dhil s dmit
ang kulit naman,an kult nmn
bagay na bagay kayo mag asawa,bgay n bgay kau mg aswa
akala ko hiwalayan na,akla q hiwalayn n
mabuti nalang hindi ko sinayang oras ko,mbuti nlng ndi q sinayng ors q
magaling lang kumanta,mgaling lng kumnta
nadali ako ah,ndali aq a
sabi ko na nga ba eh,sbi q n nga b e
grabe pati ganyang problema pinalaki,grbe pti gnyng prblema pnalaki
akala mo ang laki na nang problema,akla m an lki n nan prblema
kabataan tulad namin,kbataan tlad nmin
naalala ko tuloy,naala2 q 2loy
salamat po sainyo,slmt p sanyo
kantahan mo nang bagsakan idol,kntahan m nan bgsakan lodi
iba ka talaga,ba k tlga
mabuhay kayong lahat,mbuhay kaung lhat
nawala antok ko,nwla antk q
akala ko totoo eh,akla q 22o e
nabiktima ako tuloy,nbktima aq 2loy
personalan na iyan,personaln n iyn
bakit kasi hindi ka naliligo,bkt kc d k nali2go
akala ko kung ano na,akla q kun no n
derekta mo na,drekta m n
hindi ko titiisin panuorin ito,ndi q ti2isin pnuorin i2
matagal nang kami,mtgal nan kmi
baka nakukulangan sa pera,bka nku2langan s pra
hindi mo alam ata,d m alm ata
ganyan kapag hindi ka niya mahal,gnyan kpg ndi k nya mhal
lahat nalang nag aaway,lhat nlng ng aawy
mayroon talagang mga ganyan,myron tlgang mga gnyan
parang yung nanay ko panlabas,prang ung na2y q pnlabas
diyos ko po,jusko po
biglang kabig agad eh,bglng kbig agd e
ang galing,an gling
kaya alam ko na agad biro lang ito,kya alm q n agd bro lng i2
ikaw lang naman damay mo pa ako,ikw lng nmn dmay m p aq
akala ko totoo,akla q 22o
pag nasa labas mabango siya,pg nsa lbas mbango xa
baka naman naglilihi,bka nmn nagli2hi
kinabahan naman ako,knabhan nmn aq
para makalapit na,pra mkalapt n
iba ka talaga sir,ba k tlga sr
iyon lang pala,yun lng pla
sabi ko na eh,sbi q n e
hindi marunong maglaba ang mag asawa,ndi marunon mglba an mg aswa
sa paglalaba lang iyan,s pgla2ba lng yan
kanya kanya nalang,knya knya nlng
akala ko na mag aaway,akla q n mg aawy
napatawa ninyo ako,npatawa nyo aq
pwedeng pag usapan,pedeng pg usapn
nasa isang bahay lang sila,nsa sang bhay lng cla
nakakatuwa ang mag asawa,nka2tuwa an mg aswa
ganito po kaming mga kabataan,gan2 po kming mga kbtaan
ayaw ko na magkahiwalay sila,ayw q n mgkahiwalay cla
Kinabahan ako noon,Kinabhan aq nun
halata ko na kaagad,hlata q n kagad
iyon lang pala,yun lng pla
kaya pala nakakatawa,kya pla nkakatawa
nagtitipid kaya mabaho damit,ngti2pid kya mbaho dmit
nadali ninyo kami sir,ndali nyo kmi sr
akala ko kung ano na,akla q kun no na
dapat kayo nalang,dpt kau nlng
baka di ka gumamit idol,bka d q gmamit lodi
Mabango talaga sa labas,Mbango tlga s lbas
Baka hindi marunong maglaba,Bka ndi mrunong mglaba
kulang lang sa pansin yan,klang lng s pncn yn
Nakakatuwa na nakakatawa,Nkakatuwa n nkakatawa
nagkahiyaan pa kayo mag asawa naman kayo,ngkahiyaan p kau mg aswa nman kau
unahin mong panatilihin ang pagiging malinis,nahin mon pnatilihin an pgiging mlinis
mukhang marumi ka,mkhang mrumi k
dami kong tawa iyon lang,dmi qng twa yon lng
wag ganoon napapahiya sila,wg ganon npapahiya cla
akala ko totoo,akla q 22o
ayaw ko naman sila,yko nman sla
plano ata nila iyan,plno ta nla yn
ano daw sa kabataang tulad namin,no dw s kbataang 2lad nmin
Pahingi naman niyan,Penge nman nyan
nakakahiya iyan,nkakahiya iyn
ginamit lang ito,gnamit lng to
ako lang ba nagbabasa,aq lng b ngba2sa
kahit naman ako ganoon,khit nmn aq ganon
bago manood basa muna,bho manood bsa mna
Iyon lang pala Iyon,Yun lng pla Yun
basta naalala ko lang,bsta naala2 q lng
ligo ligo rin,lgo lgo rn
hayop ka idol,hyop k lodi
akala ko nga hindi dahilan iyon,akla q nga ndi dhilan yun
naalala ko lang,naala2 q lng
Diyos ko maliit na bagay,Jusq mliit n bgay
matibay na pagsasama niyo,mtibay n pgsasama nyo
eto lang malakas talaga,e2 lng sakalam tlga
MALAKAS lang talaga,SAKALAM lng talaga
dahil lang sa ganoon,dhil lng s ganun
Ganoon lang pala iyon,Ganun lng pla un
kaya gagamit na ako,kya ggamit n aq
kala ko totoo,kla q 22o
basta ako tuwang tuwa sa kilig,bsta aq 2wang 2wa s klig
kakatuwa naman,kaka2wa nman
maraming salamat sa mga hindi nangiwan,mraming slamat s mga ndi naniwan
Nakakahiya naman,Nkkahiya nmn
ano ang mabigat na dinadala mo,no an mbigat n dnadala m
Mukha sila na,Mkha cla n
sila naman nagkatuluyan,cla nmn ngka2luyn
lakas tama,lkas tma
kasama mo lang naman,ksama m lng nmn
matutulog na sana ako nakita ko pa ito,ma22log n sna aq nkta q p i2
kung hindi mo kilala,qng ndi m kila2
di totoo pero tinapos,d 22o pro tnapos
Gumamit kayo nito,Gmamit kau n2
ang ganda talaga,an gnda tlga
pero di ko alam paano nila nalaman,pro d q lam pano nla nlaman
Grabe naman ikaw iyon,Grbe nman ikw un
kala ko ano na,kla q no n
alam na tuloy nangyari,lam n tloy nngyari
kaayos ayos ng inyong pagsasama,ka aus aus ng yun pgsasama
Natatawa naman ako,Nattawa nmn aq
Kalokohan niyo,Kaloqhan nyo
natatawa ako sa dalawang ito,nata2wa aq s dlwang i2
papansin lang mga ito,pa2ncn lng mga i2
saludo ako sayo,sludo aq sau
kulit mo talaga,klit m tlga
walang kwenta iyan,langkwenta yan
sino ba naglalaba,cno b ngla2ba
"hayop na iyan, idol talaga","hype n yan, lodi tlga"
Baka gagawa na sila,Bka ggawa n sla
Akala ko seryoso,Kala q sryoso
andiyan na sila,andyan n cla
"para kahit saan mapunta, mabango","pra khit san mpunta, mbango"
dami ko tawa,dmi q twa
away bata lang iyan,awy bta lng yan
hayop kayo!,haup kau!!
magkano kaya binayad,mgkano kya bnayad
malakas na bagsakan para sayo,mlkas n bgsakan pra sau
ganoon din dito iyon,ganun dn d2 un
palaos na kasi kayo,plaos n kc kau
kaya lagi ako nakokontra,kya lgi aq nako2ntra
napakasarap pa naman,npakasarap p nman
Ganoon din ako,Ganun dn aq
bwesit iyan lang pala,bwect yan lng pla
sinadya lang simpleng problema sa mag asawa iyan,cnadya lng simplng prblema s mag aswa yan
ganda na lalo,gnda n lalo
Magkasama pala,Mgkasama pla
maasim pala sila,masim pla cla
para hindi masasayang ang oras,pra ndi masa2yang an ors
pareho ata kayo,preho ata kau
dapat ako rin sana,dpt aq rn sna
abng n abng aq dun,abang na abang ako doon
jusko nman,diyos ko naman
kumita na naman,kmita n nmn
Idol ko pa naman,lodi q p nmn
ano ba iyan,no b yn
ito ang gamit namin,i2 an gmit nmin
Iyon lang Pala,Un lng Pla
Ntutuwa nmn aq d2.,Natutuwa nman ako dito.
Napakalaking problema niya idol,Npakalaking prblema nya lods
gamit ko din yan pero bakit mabaho pa din,gmit q dn yan pro bat mbaho p dn
may naalala ako,my naala2 aq
ang tanda ninyo na po,an tnda nyo n po
akala mo totoo na,akla m 22o n
Seryoso talaga,Sryoso tlaga
kalokohan lang away na iyan,kalokohn lng awy n yan
sa pag mamahalan nila,s pg ma2halan nla
nagpapatawa lang pala.,ngpptwa lng pla.
Ganito na ba ngayon,Ganto nb ngaun
Kasama iyan.,Ksama yan.
para sumikat lang ulit,pra smikat lng ule
diba ito iyong dalawa,dba i2 yong dlwa
mabuti nalang,mbuti nlng
may bagong kanta,my bgong knta
papansin lang iyan,pa2ncn lng iyn
ang babaw naman,anbbaw nmn
Para namang naghanap atensyon,Pra nmang nghanap atnsyon
ang babaw naman niyan,an ba2w nmn nyan
nagulat ka nalaman nila,ngulat k nlaman nla
hindi natuyo agad,ndi na2u agd
nagdrama lang kayo,ngdrama lng kau
wala kayo magawa,wla kau mgawa
natawa ako,ntwa aq
nag iba na samahan,ng ba n smahan
Ayos akala ko totoo.,Aus kala q ttoo.
Palaos kana,Plaos k n
sinabi nito sa kanya,cnabi n2 s knya
iyan lang magagawa niya,iyn lng maga2wa nya
kasi naman bakit ba,kc nmn bkit b
sa paglalaba iyan siguro,s pgllaba yan cguro
wag agad maniwala kayo baka pinagloloko lang kayo,wg gad mniwala kau bka pnaglloko lng kau
ano ba ito,no b i2
walang kwenta,alang wenta
mga bata pa talaga sila,mga bta p tlga cla
maasim ka pala idol,masim k pla lodi
Tiyak kikita ka na naman niyan.,Tyak kkita k n nmn nyan.
Para makilala ulit iyan lang iyon.,Pra mkilala ule yan lng un.
magkano kaya bayad,mgkano kya byad
lahat ng hindi naniniwala,lhat ng ndi nani2wla
sakit sa tiyan,skt s tyan
idol pa rin kita kahit ganyan,lodi p rn kta khit gnyan
walang magawa sa buhay,wlng mgawa s buhay
akala ko kung ano na,akla q kun no na
ang babaw naman ng dahilan,an ba2w nmn ng dhilan
Ano naman ba pakialam natin,No nmn b pkialam ntn
sinasayang lang oras,cnasayng lng ors
baka naman,bka nmn
parang tunay talaga,prang 2nay tlga
dami ko tawa,dmi q twa
Grabe kayong dalawa pwede naman,Grbe kaung dlawa pwd nmn
wala naman pa lang kwenta,wla nmn p lng wenta
gusto niyo lang sumikat,usto nyo lng smikat
magandang araw po,mgandang arw po
nakakatawa sobra,naka2twa sbra
akala ko naman kung naisahan ako doon,kala q nmn kng naishan aq dun
ang sarap naman panoorin,ansarap nman panu2rin
bakit hindi ninyo pag usapan,bat d nyo pg uspan
problema niyo na iyan,prblema nyo n yan
di ko alam kung bakit sila pa,d q lam kng bkit sla p
kayong dalawa nakakatawa,kaung dlawa nkkatawa
Sino ba kasi,Sno b kac
Sabi ko na sayo,Sbi q n sau 
gusto mo ayusin?,usto m ausin?
naisahan niyo ako doon,naisan nyo aq dun
natawa naman tuloy sila,ntawa nman 2loy cla
pag ganito lang dapat,pg gni2 lng dpat
hindi naman siya iyon,hndi nman sya un
wala na akong gagawin dito,ala nakong ggawin d2
"Walanghiya, akala ko totoo na","Langya, kala q ttoo n "
Bwesit akala ko naman totoo,Buset kala q nmn ttoo
Di ko kinaya,D q knaya
nakakahiya naman iyon,nkkahiya nman un
baka naman,bka nman
Nakakahiya na kayo,Nkkahiya n kau
Iyun naman pala,Yun nman pla
sana pag kaya na,sna pg kya n
dapat mo siya patawadin,dpat m xa ptwadin
mayroon kami niyan,meron kmi nyan
magaling kayo idol,mgaling kau lodi
bwesit napanood tuloy ako,buset napnood tloy aq
totoo ba ito?,ttoo b to? 
di naman kami ganoon,d nmn kmi ganun
kasi palaos na.,kc plaos n.
nakakatawa naman talaga sila,nkakatawa nman tlga sla
tapos ganyan nakakahiya sila,tpos gnyan nkkahiya sla
baka naman sasama siya,bka nman ssama sya
Di ako naniniwala ,D aq nani2wala 
sige kayo diyan,cge kau dyan
Baka ginawa nila iyan,Bka gnawa nla yan
di ko na makalimutan,d q n mklimutan
Ang pogi talaga,Ampogi tlga
baka hindi mo na kaya siya?,bka hndi m n kya sya?
hindi kayo magtatagumpay,hnd kau mgttagumpay
bakit ganiyan kayo?,bat gnyan kau?
baka lang iyon,bka lng un
napakababaw niyan pagusapan niyo parang hindi kayo mgasawa,npakabbaw nyan pgusapan nyo prang hndi kau mgasawa
Bakit naglalabasan na kayo?,Bkit ngllabasan n kau?
kayo dapat,kau dapat 
akala mo seryoso talaga,kala m sryoso tlaga
Nagpapapasin lang yan palaos na kasi,Nagppapasin lng yn plaos n kc
may mali ba sa sarili niya,my mli b s srili nia
Nakakatawa kayo,Nkakatawa kau
kailangan pa ba niyan?,kelangan p b nyan?
laught trip nalang ako,lt nlng aq
Nakakatuwa naman talaga ito,Nkkatuwa nman tlga to
bakit hindi niya sanayin,bkit nde nya snayin
GANYAN TALAGA,GNYAN TLAGA
pwede naman iyon,pde nman un
kasi mayroon din naman silang ganyan,kc meron dn nmn clang gnyan
Ako lang ba nakapansin,q lng b nkapansin
Kaya niya kayo,Kya nya kau
Tawa nalang ako,Twa nlang aq
gusto lang naman pala,usto lng nman pla
